Departure,Arrival,Vessel Name,Service Land Name,POL,POD
2025-01-22,2025-02-18,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-02-20,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-02-25,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-02-25,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-03-05,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-03-07,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-03-08,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-22,2025-03-25,YM MODERATION 077E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-23,2025-02-22,SEASPAN BEYOND 2434E,AP1,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-03-15,SINAR SANUR 091S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-03-25,SINAR SANUR 091S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-03-30,SINAR SANUR 091S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-03-15,HAIAN DELL 007S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-03-25,HAIAN DELL 007S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-03-30,HAIAN DELL 007S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-24,2025-04-03,HAIAN DELL 007S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-27,2025-03-15,INCEDA 011S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-27,2025-03-25,INCEDA 011S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-27,2025-03-30,INCEDA 011S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-02-25,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-02,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-07,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-12,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-17,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-20,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-24,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-29,2025-03-25,ONE ALTAIR 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-03-26,CMA CGM VISBY 5IU8MW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-03-29,CMA CGM VISBY 5IU8MW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-03-31,CMA CGM VISBY 5IU8MW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-03-26,HAIAN ROSE 047S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-03-29,HAIAN ROSE 047S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-03-31,HAIAN ROSE 047S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-31,2025-04-03,HAIAN ROSE 047S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-01,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-07,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-10,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-12,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-12,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-15,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-04-04,YM TIPTOP 019E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-02-26,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-08,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-12,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-24,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-28,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-31,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-04-04,ONE ARCADIA 071E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-06,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-10,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-12,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-12,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-14,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-03-15,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-01,2025-04-04,YM TRILLION 014E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-03,2025-03-26,SINAR SANUR 092S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-02-03,2025-03-29,SINAR SANUR 092S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
